,,,,,MSE,MSE,abs_error,abs_error,RMSE,RMSE,NRMSE,NRMSE,MAPE,MAPE,sMAPE,sMAPE,MASE,MASE
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
context_length,rope_scaling,dataset,train_size,forecast_horizon,,,,,,,,,,,,,,
32,False,climate,large,10,0.13290927410125733,,3.5225627422332764,,0.3645672422218668,,0.752259274419723,,0.7407101631164551,,1.2577637672424316,,1.9776776140260006,
32,False,climate,large,50,0.09574907302856445,,12.33677864074707,,0.3094334710863782,,1.4092435264470327,,1.6346554565429687,,1.8148611450195313,,1.3870288771421762,
32,False,weather,large,10,1.9978340148925782,,7.79318904876709,,1.4134475635454533,,0.1273376270897615,,0.06307685375213623,,0.0672295331954956,,0.4192593408034777,
32,False,weather,large,50,8.428047485351563,,123.05509948730469,,2.903109967836486,,0.32736917095041246,,0.27847484588623045,,0.2552093505859375,,1.326994532495374,
32,True,climate,large,10,0.11962145566940308,,3.319075107574463,,0.34586334825968923,,0.7136650836332442,,0.6963555335998535,,1.1518779754638673,,1.86343325012272,
32,True,climate,large,50,0.0795267629623413,,10.938525199890137,,0.2820048988268489,,1.2843264069100961,,1.3393710327148438,,1.6364506530761718,,1.2298226925693019,
32,True,weather,large,10,1.8751399993896485,,9.71677017211914,,1.3693575133578697,,0.12336555022327163,,0.08397051692008972,,0.08841456174850464,,0.5227444928653517,
32,True,weather,large,50,6.187282104492187,,118.43740844726562,,2.4874247937359204,,0.28049443581142836,,0.2706922721862793,,0.25454227447509764,,1.2771985403876525,
64,False,climate,large,10,0.16586697101593018,,3.993746280670166,,0.4072676896292292,,0.8403686925569439,,0.8515339851379394,,1.4997636795043945,,2.2422148853971877,
64,False,climate,large,50,0.0678785228729248,,10.190475463867188,,0.26053507033204726,,1.1865470144158003,,1.466974334716797,,1.4183566284179687,,1.1457191663882096,
64,False,weather,large,10,11.394456481933593,,26.116071701049805,,3.375567579227765,,0.30410520821996634,,0.2186758279800415,,0.2550758123397827,,1.4049969707190326,
64,False,weather,large,50,4.288786926269531,,111.27468872070312,,2.0709386582585037,,0.23352938026956313,,0.2736537933349609,,0.23397623062133788,,1.1999576137251553,
64,True,climate,large,10,0.12753475904464723,,3.36080265045166,,0.3571200905082872,,0.7368925922394802,,0.6994637012481689,,1.133726215362549,,1.8868604062801215,
64,True,climate,large,50,0.06759309291839599,,10.132872581481934,,0.25998671681144786,,1.1840496645124559,,1.3305209350585938,,1.5118960571289062,,1.1392428516547117,
64,True,weather,large,10,2.144537353515625,,11.926104545593262,,1.4644238981646076,,0.13193008998371875,,0.10044634342193604,,0.10746616125106812,,0.6416026480109357,
64,True,weather,large,50,6.56751953125,,115.90461730957031,,2.562717216403324,,0.28898478521622367,,0.2796674919128418,,0.23748104095458986,,1.2498855724108873,
128,False,climate,large,10,0.1661475658416748,,3.8951427936553955,,0.4076120285782484,,0.8410792121482406,,0.8220906257629395,,1.464883041381836,,2.1868557837420153,
128,False,climate,large,50,0.0861369514465332,,11.253714561462402,,0.29349097336465596,,1.3366370898167108,,1.213402328491211,,1.689046630859375,,1.2652595565189224,
128,False,weather,large,10,4.678805541992188,,8.735130310058594,,2.1630546784564157,,0.19486980424597095,,0.07547147274017334,,0.07908408641815186,,0.4699340607176764,
128,False,weather,large,50,25.6532958984375,,215.97061157226562,,5.0649082813450335,,0.5711443394751873,,0.5210163497924805,,0.40178260803222654,,2.328971508942997,
128,True,climate,large,10,0.10866162776947022,,3.114734411239624,,0.3296386320950113,,0.6801865046602086,,0.655938196182251,,1.0382192611694336,,1.748709950540074,
128,True,climate,large,50,0.07756380081176757,,10.62746810913086,,0.27850278420828684,,1.2683768319085398,,1.2628012847900392,,1.657942657470703,,1.1948504214532478,
128,True,weather,large,10,2.215886116027832,,16.20676040649414,,1.4885852733477623,,0.1341067906002814,,0.1449904441833496,,0.15704810619354248,,0.8718941170382108,
128,True,weather,large,50,10.388201904296874,,116.80390167236328,,3.223073363157729,,0.36344984051556006,,0.2805963897705078,,0.23692516326904298,,1.2595832236058135,
256,False,climate,large,10,0.1693754553794861,,4.080192565917969,,0.4115524940751618,,0.8492100900008921,,0.8580324172973632,,1.5302041053771973,,2.2907485512707715,
256,False,climate,large,50,0.07695026397705078,,10.925106048583984,,0.2773991059413328,,1.26335038325861,,1.1245693206787108,,1.6380294799804687,,1.228313972107471,
256,False,weather,large,10,0.8943601608276367,,6.957798004150391,,0.9457061704502285,,0.08519875995060575,,0.06157262921333313,,0.06061305403709412,,0.3743168279903777,
256,False,weather,large,50,3.54035400390625,,97.72796630859375,,1.881582845347568,,0.21217667362941775,,0.22390806198120117,,0.2636377143859863,,1.0538732446173453,
256,True,climate,large,10,0.1335221767425537,,3.4138925075531006,,0.3654068646626028,,0.7539917772200436,,0.7118940353393555,,1.1560572624206542,,1.9166667233295072,
256,True,climate,large,50,0.07471647262573242,,10.532280921936035,,0.2733431408060799,,1.2448784235501709,,1.3232159423828125,,1.6628298950195313,,1.1841484885404623,
256,True,weather,large,10,6.824200439453125,,26.687274932861328,,2.6123170633468527,,0.23534389575675635,,0.22901763916015624,,0.26363751888275144,,1.4357266615985325,
256,True,weather,large,50,4.180770568847656,,81.33583068847656,,2.0446932701135534,,0.23056981929754553,,0.17898191452026369,,0.19852712631225586,,0.8771046715598566,
512,False,climate,large,10,0.13622517585754396,,3.753058910369873,,0.36908694891250754,,0.7615853763891978,,0.7770179748535156,,1.3183535575866698,,2.107085418854345,
512,False,climate,large,50,0.07592145442962646,,10.880030632019043,,0.2755384808509085,,1.2548765945161713,,1.3594076538085937,,1.604771728515625,,1.22324612528575,
512,False,weather,large,10,0.7661817073822021,,16.889259338378906,,0.8753180606969115,,0.07885748836580185,,0.15017725229263307,,0.16296056509017945,,0.9086113133606013,
512,False,weather,large,50,1.2888053894042968,,58.834190368652344,,1.1352556493602208,,0.12801709369100972,,0.13728974342346192,,0.151869478225708,,0.6344527717118154,
512,True,climate,large,10,0.1355135202407837,,3.5568647384643555,,0.3681216106679744,,0.7595934677279139,,0.7356773853302002,,1.2347589492797852,,1.9969358345395125,
512,True,climate,large,50,0.07854901313781738,,10.95319652557373,,0.28026596856881747,,1.2764068492731344,,1.2079849243164062,,1.7431546020507813,,1.2314721954891232,
512,True,weather,large,10,5.3715873718261715,,27.882984161376953,,2.3176685206962127,,0.20879898017992723,,0.2405329942703247,,0.27794318199157714,,1.50005363478025,
512,True,weather,large,50,12.415172119140625,,120.34735107421875,,3.523517009912202,,0.39732936579879596,,0.28354841232299804,,0.24680747985839843,,1.297794870274884,
950,False,climate,large,10,0.09848992824554444,,3.580169916152954,,0.3138310504802615,,0.6475686539631198,,0.7451245307922363,,1.2533404350280761,,2.0100200949426132,
