DateTime,Nedbør,Nedbørsminutter,Middeltemperatur,Maksimumtemperatur,Minimumtemperatur,Middelvindhastighed,Højeste vindstød,Luftfugtighed
2024-04-01 00:00:00,0.0,0,5.2,5.5,4.8,0.7,1.5,99
2024-04-01 01:00:00,0.0,0,5.1,5.5,4.6,1.9,3.3,99
2024-04-01 02:00:00,0.0,0,4.7,5.2,4.3,1.4,4.0,99
2024-04-01 03:00:00,0.0,0,5.3,5.6,5.0,2.1,4.8,100
2024-04-01 04:00:00,0.0,0,4.9,5.2,4.7,1.2,3.3,100
2024-04-01 05:00:00,0.0,0,4.6,4.9,4.2,1.9,4.3,100
2024-04-01 06:00:00,0.0,0,4.3,4.5,4.1,1.8,3.9,100
2024-04-01 07:00:00,0.0,0,4.4,4.6,4.2,2.2,4.9,100
2024-04-01 08:00:00,0.0,0,4.7,5.1,4.4,2.3,4.2,100
2024-04-01 09:00:00,0.0,0,5.5,6.0,4.9,2.1,4.1,100
2024-04-01 10:00:00,0.0,0,6.6,7.7,5.8,2.7,5.5,97
2024-04-01 11:00:00,0.0,0,7.4,7.9,7.0,3.1,6.1,93
2024-04-01 12:00:00,0.0,0,8.3,8.7,7.9,2.8,5.9,91
2024-04-01 13:00:00,0.0,0,9.1,9.5,8.5,3.0,5.9,87
2024-04-01 14:00:00,0.0,0,10.0,10.4,9.4,3.5,6.5,84
2024-04-01 15:00:00,0.0,0,10.1,10.4,9.9,3.1,6.5,84
2024-04-01 16:00:00,0.0,0,9.4,10.0,9.1,2.9,5.4,89
2024-04-01 17:00:00,0.3,7,8.8,9.1,8.4,2.9,5.3,92
2024-04-01 18:00:00,1.7,16,8.1,8.5,7.9,3.3,6.4,96
2024-04-01 19:00:00,0.6,10,7.9,8.1,7.6,2.2,5.3,97
2024-04-01 20:00:00,0.5,6,7.9,8.1,7.6,1.2,2.7,98
2024-04-01 21:00:00,1.9,18,7.5,7.7,7.3,1.6,3.4,99
2024-04-01 22:00:00,0.6,10,7.2,7.4,7.1,1.9,3.4,99
2024-04-01 23:00:00,1.8,23,7.3,7.5,7.2,1.8,3.8,99
2024-04-02 00:00:00,2.3,24,7.4,7.5,7.3,1.4,3.3,100
2024-04-02 01:00:00,4.1,33,7.0,7.6,6.3,4.0,9.2,99
2024-04-02 02:00:00,5.3,44,5.9,6.4,5.7,3.9,11.0,98
2024-04-02 03:00:00,2.4,25,5.6,5.8,5.3,3.5,6.7,98
2024-04-02 04:00:00,2.9,30,5.3,5.5,5.1,3.4,6.8,98
2024-04-02 05:00:00,2.0,22,4.8,5.2,4.2,3.0,5.6,97
2024-04-02 06:00:00,2.9,30,3.5,4.4,2.8,3.5,9.8,95
2024-04-02 07:00:00,1.3,20,2.9,3.3,2.7,2.4,5.5,97
2024-04-02 08:00:00,0.5,8,3.4,3.7,3.2,4.0,8.3,97
2024-04-02 09:00:00,0.6,10,3.6,3.8,3.3,3.3,8.1,97
2024-04-02 10:00:00,0.8,10,3.4,3.7,3.1,3.4,7.4,96
2024-04-02 11:00:00,0.1,2,3.4,3.7,3.1,2.7,5.6,95
2024-04-02 12:00:00,0.6,10,3.2,3.5,2.9,3.1,6.0,95
2024-04-02 13:00:00,0.4,7,3.1,3.4,2.8,3.0,6.7,95
2024-04-02 14:00:00,0.9,10,2.5,2.8,2.3,3.3,6.3,95
2024-04-02 15:00:00,0.6,9,2.4,2.7,2.3,3.2,6.9,95
2024-04-02 16:00:00,0.3,7,2.2,2.6,1.8,3.3,7.1,94
2024-04-02 17:00:00,0.2,2,1.7,1.9,1.5,3.1,6.7,95
2024-04-02 18:00:00,0.1,2,1.4,1.7,1.1,2.7,6.1,96
2024-04-02 19:00:00,0.0,0,1.0,1.2,0.8,2.9,6.1,96
2024-04-02 20:00:00,0.0,0,0.7,0.9,0.5,3.3,6.8,97
2024-04-02 21:00:00,0.0,0,0.5,0.7,0.3,3.0,7.1,96
2024-04-02 22:00:00,0.0,0,0.3,0.4,0.0,2.8,6.1,96
2024-04-02 23:00:00,0.0,0,0.3,0.4,0.2,2.8,6.5,96
2024-04-03 00:00:00,0.0,0,0.1,0.3,0.0,2.5,5.6,97
2024-04-03 01:00:00,0.0,0,0.2,0.3,0.0,2.4,5.4,97
2024-04-03 02:00:00,0.0,0,0.3,0.4,0.1,1.9,4.3,97
2024-04-03 03:00:00,0.0,0,0.1,0.3,-0.1,1.8,4.4,97
2024-04-03 04:00:00,0.0,0,0.2,0.4,0.0,1.2,2.9,98
2024-04-03 05:00:00,0.0,0,0.3,0.4,0.2,1.0,2.5,98
2024-04-03 06:00:00,0.0,0,0.5,0.7,0.3,1.6,4.5,96
2024-04-03 07:00:00,0.0,0,0.8,1.1,0.6,2.3,5.0,91
2024-04-03 08:00:00,0.0,0,1.3,1.6,1.0,2.9,6.1,83
2024-04-03 09:00:00,0.0,0,1.7,2.0,1.4,2.8,6.0,78
2024-04-03 10:00:00,0.0,0,2.0,2.4,1.8,3.1,7.0,76
2024-04-03 11:00:00,0.0,0,2.4,2.8,2.1,3.3,6.6,73
2024-04-03 12:00:00,0.0,0,2.8,3.3,2.5,3.5,6.4,72
2024-04-03 13:00:00,0.0,0,3.4,4.0,3.1,3.4,6.6,70
2024-04-03 14:00:00,0.0,0,3.3,4.2,3.0,3.5,6.8,71
